url_path,views_total,views_unique
/Nackophilz/fankai_utilitaire,11,5
/Nackophilz/fankai_utilitaire/blob/main/setup/Fankai-Config.exe,4,4
/Nackophilz/fankai_utilitaire/commits,1,1
/Nackophilz/fankai_utilitaire/tree/main/docker,1,1
